corpus,class,path,width,height,aspect,mean_R,mean_G,mean_B,mean_brightness,std_brightness,mean_saturation,greenness,sharpness_lapvar,dark_pixel_fraction,very_dark_fraction,background_uniformity
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (221).jpg,480,360,1.3333333333333333,0.7020944356918335,0.7101125121116638,0.7158843278884888,0.7083730697631836,0.13001444935798645,0.10005130618810654,0.0011231303215026855,0.000515065505169332,0.002730389030612245,0.0003786670918367347,0.945446252822876
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (252).jpg,480,360,1.3333333333333333,0.7375478744506836,0.7382104992866516,0.7386617064476013,0.7380638122558594,0.11897334456443787,0.06686997413635254,0.00010567903518676758,0.0008486849837936461,0.004643654336734694,0.0004185267857142857,0.8633041381835938
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (351).jpg,480,360,1.3333333333333333,0.7032278180122375,0.7137929201126099,0.6869623064994812,0.707575261592865,0.18375545740127563,0.20482856035232544,0.01869785785675049,0.0008527902537025511,0.003667091836734694,0.0,0.965327799320221
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (136).jpg,480,360,1.3333333333333333,0.7175537347793579,0.7484354972839355,0.7075981497764587,0.734546422958374,0.15421199798583984,0.17686273157596588,0.03585958480834961,0.0006956485449336469,0.00047831632653061223,1.992984693877551e-05,0.8286033272743225
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (247).jpg,480,360,1.3333333333333333,0.7506518959999084,0.7487050294876099,0.7347205877304077,0.7476929426193237,0.14958158135414124,0.0904104933142662,0.0060187578201293945,0.0011401212541386485,0.007672991071428571,0.0008370535714285714,0.8603363633155823
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (63).jpg,480,360,1.3333333333333333,0.6383863687515259,0.6759834885597229,0.7259867191314697,0.6704422831535339,0.14703534543514252,0.18723642826080322,-0.006203055381774902,0.0003502040635794401,0.029834980867346938,0.0005181760204081633,0.9547898769378662
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (407).jpg,480,360,1.3333333333333333,0.5911180377006531,0.6394699811935425,0.626653254032135,0.6235516667366028,0.16474570333957672,0.26889175176620483,0.030584335327148438,0.0005766464164480567,0.016402264030612245,0.0033681441326530613,0.9308252334594727
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (479).jpg,480,360,1.3333333333333333,0.6709544062614441,0.7174139022827148,0.7542969584465027,0.7077271342277527,0.10172473639249802,0.19871945679187775,0.004788219928741455,0.0007093973108567297,0.0001793686224489796,0.0,0.9249979257583618
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (167).jpg,480,360,1.3333333333333333,0.6994194388389587,0.7113591432571411,0.6664471626281738,0.7026692628860474,0.13264280557632446,0.14945706725120544,0.02842581272125244,0.00041661722934804857,0.0001992984693877551,1.992984693877551e-05,0.8452264666557312
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (29).jpg,480,360,1.3333333333333333,0.7631709575653076,0.7643786668777466,0.7275689840316772,0.7598212957382202,0.1524648368358612,0.125205859541893,0.01900869607925415,0.0008917479426600039,0.0038464604591836736,3.985969387755102e-05,0.9325873255729675
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (148).jpg,480,360,1.3333333333333333,0.7462059259414673,0.7414152026176453,0.6769720315933228,0.7355011105537415,0.15570344030857086,0.16586735844612122,0.029826223850250244,0.0003690422454383224,1.992984693877551e-05,0.0,0.8494135737419128
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (498).jpg,480,360,1.3333333333333333,0.7810834646224976,0.7795624732971191,0.7578865885734558,0.7775461673736572,0.16047193109989166,0.13364192843437195,0.010077476501464844,0.001088729128241539,0.0005779655612244898,0.0,0.8893364071846008
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (274).jpg,480,360,1.3333333333333333,0.7329755425453186,0.7423723340034485,0.7508353590965271,0.7405275106430054,0.11199451237916946,0.07871264219284058,0.00046688318252563477,0.000746461097151041,0.007892219387755101,0.0007573341836734694,0.905928909778595
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (174).jpg,480,360,1.3333333333333333,0.6950649619102478,0.6981006264686584,0.6968172192573547,0.69704669713974,0.1669810712337494,0.1087464913725853,0.0021595358848571777,0.0015712720341980457,0.021324936224489797,0.009845344387755101,0.865574836730957
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (57).jpg,480,360,1.3333333333333333,0.8136959671974182,0.7921773195266724,0.7630440592765808,0.7952902913093567,0.22647719085216522,0.1692766398191452,0.0038073062896728516,0.0016636289656162262,0.009088010204081632,0.0,0.9712554216384888
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (358).jpg,480,360,1.3333333333333333,0.5122665762901306,0.6417255997657776,0.6870450377464294,0.6081838011741638,0.19011333584785461,0.3640088438987732,0.04206979274749756,0.0005538832047022879,0.06405452806122448,0.004105548469387755,0.8665817379951477
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (27).jpg,480,360,1.3333333333333333,0.7605377435684204,0.7624332904815674,0.7275120615959167,0.7578855156898499,0.17272470891475677,0.13038182258605957,0.01840841770172119,0.0008916273363865912,0.004942602040816327,0.00013950892857142856,0.8938441276550293
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (245).jpg,480,360,1.3333333333333333,0.6624135971069336,0.663138747215271,0.6528425812721252,0.6617481708526611,0.14758187532424927,0.1239890456199646,0.005510687828063965,0.0005332291475497186,0.009984853316326531,0.0,0.9303388595581055
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (347).jpg,480,360,1.3333333333333333,0.6985766291618347,0.7083609700202942,0.6859102845191956,0.7028760313987732,0.20320577919483185,0.21764646470546722,0.016117513179779053,0.0009112237603403628,0.015565210459183673,0.0018534757653061226,0.8583410978317261
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (354).jpg,480,360,1.3333333333333333,0.556064784526825,0.6371328234672546,0.6061808466911316,0.6093649864196777,0.22942964732646942,0.33383652567863464,0.05601000785827637,0.0011136417742818594,0.08745216836734694,0.03577407525510204,0.6950038075447083
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (284).jpg,480,360,1.3333333333333333,0.738774836063385,0.7428842782974243,0.746306300163269,0.7420456409454346,0.13914313912391663,0.07596201449632645,0.00034368038177490234,0.0008640253217890859,0.011120854591836735,0.0014349489795918368,0.9218780398368835
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (103).jpg,480,360,1.3333333333333333,0.7404522895812988,0.7366929054260254,0.6971908807754517,0.7333137392997742,0.15709428489208221,0.12473690509796143,0.017871320247650146,0.000531812896952033,0.0009765625,3.985969387755102e-05,0.9731156229972839
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (375).jpg,480,360,1.3333333333333333,0.6775413155555725,0.7110297679901123,0.6225497126579285,0.6909299492835999,0.23689571022987366,0.31562408804893494,0.060984253883361816,0.0006133775459602475,0.02698501275510204,0.0029894770408163264,0.9494037628173828
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (86).jpg,480,360,1.3333333333333333,0.7228267192840576,0.7222575545310974,0.7028335332870483,0.7202134132385254,0.16416437923908234,0.13091705739498138,0.009427428245544434,0.0005629209335893393,0.008330676020408163,0.00011957908163265306,0.9702799916267395
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (404).jpg,480,360,1.3333333333333333,0.6277424097061157,0.6910003423690796,0.6517276167869568,0.6676090955734253,0.19183357059955597,0.30479028820991516,0.05126535892486572,0.000917576951906085,0.026347257653061226,0.007194674744897959,0.8713769912719727
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (466).jpg,480,360,1.3333333333333333,0.5921592116355896,0.6414178609848022,0.6778010129928589,0.6308372020721436,0.1301933377981186,0.26689252257347107,0.006437778472900391,0.00048492159112356603,0.0024513711734693877,0.0,0.9239600896835327
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (408).jpg,480,360,1.3333333333333333,0.6196563243865967,0.6711419820785522,0.6459713578224182,0.6528782844543457,0.15985149145126343,0.27027803659439087,0.03832817077636719,0.0004858139727730304,0.025988520408163265,0.008529974489795918,0.9523822069168091
internal,mango anthracnose,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (39).jpg,480,360,1.3333333333333333,0.7647186517715454,0.7501399517059326,0.7178983092308044,0.7508234977722168,0.1806950569152832,0.16007742285728455,0.008831501007080078,0.00129113276489079,0.0007573341836734694,0.0,0.8794587254524231
